fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8446601941747572,0.8709677419354839,0.8996852871754523,10,1.0
2,0.8640776699029126,0.8939393939393939,0.910306845003934,10,1.0
3,0.8543689320388349,0.88,0.9004720692368213,5,1.0
4,0.8446601941747572,0.8688524590163934,0.8882769472856019,10,0.05
5,0.8333333333333334,0.8571428571428571,0.9192323070771692,5,1.0
6,0.8737864077669902,0.896,0.8941778127458694,5,1.0
7,0.8543689320388349,0.8760330578512396,0.8863099921321794,2,1.0
8,0.9029126213592233,0.9206349206349206,0.9457120377655389,5,1.0
9,0.883495145631068,0.9047619047619048,0.9657749803304485,5,1.0
10,0.803921568627451,0.8275862068965517,0.8832467013194721,5,1.0
