run_id,pkl,cv_auc,best_C,best_gamma
7,SetA+BRK_run7_auc0.9597_C5_g1.pkl,0.9596858030981157,5,1
2,SetA+BRK_run2_auc0.9589_C5_g1.pkl,0.9589144987166425,5,1
9,SetA+BRK_run9_auc0.9589_C5_g1.pkl,0.9588706452902709,5,1
4,SetA+BRK_run4_auc0.9587_C10_g1.pkl,0.958659116998362,10,1
10,SetA+BRK_run10_auc0.9584_C5_g1.pkl,0.9583727799202899,5,1
3,SetA+BRK_run3_auc0.9571_C2_g1.pkl,0.9570829732623081,2,1
8,SetA+BRK_run8_auc0.9568_C2_g1.pkl,0.9568417794172653,2,1
1,SetA+BRK_run1_auc0.9565_C5_g1.pkl,0.9565464136925875,5,1
6,SetA+BRK_run6_auc0.9563_C2_g1.pkl,0.9563194077207827,2,1
5,SetA+BRK_run5_auc0.9560_C5_g1.pkl,0.955998245862945,5,1
