fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8155339805825242,0.8527131782945736,0.8752950432730133,5,1.0
2,0.883495145631068,0.9016393442622951,0.9221085759244689,5,1.0
3,0.883495145631068,0.90625,0.9287962234461055,1,1.0
4,0.883495145631068,0.9,0.9193548387096774,5,1.0
5,0.8235294117647058,0.8448275862068966,0.8516593362654938,5,1.0
6,0.8640776699029126,0.8870967741935484,0.9382376081825334,1,1.0
7,0.8349514563106796,0.864,0.8817859952793077,5,1.0
8,0.8640776699029126,0.8813559322033898,0.950432730133753,5,1.0
9,0.8737864077669902,0.896,0.9335169158143194,2,1.0
10,0.8627450980392157,0.8833333333333333,0.8716513394642144,10,0.1
