run_id,pkl,cv_auc,best_C,best_gamma
4,SetA+FES_run4_auc0.9605_C5_g1.pkl,0.9605215978124878,5,1
3,SetA+FES_run3_auc0.9596_C5_g1.pkl,0.9595993860520308,5,1
2,SetA+FES_run2_auc0.9594_C5_g1.pkl,0.9593504533670402,5,1
6,SetA+FES_run6_auc0.9584_C2_g1.pkl,0.9584282416065832,2,1
10,SetA+FES_run10_auc0.9584_C5_g1.pkl,0.9583895474068438,5,1
1,SetA+FES_run1_auc0.9581_C2_g1.pkl,0.9580580670957424,2,1
7,SetA+FES_run7_auc0.9581_C2_g1.pkl,0.9580567772890844,2,1
5,SetA+FES_run5_auc0.9577_C5_g1.pkl,0.957658227031768,5,1
9,SetA+FES_run9_auc0.9575_C5_g1.pkl,0.9574944215862043,5,1
8,SetA+FES_run8_auc0.9568_C2_g1.pkl,0.9568043750241838,2,1
