fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8155339805825242,0.8429752066115702,0.8874901652242329,2,1.0
2,0.912621359223301,0.9291338582677166,0.94492525570417,5,1.0
3,0.8921568627450981,0.9105691056910569,0.9476209516193523,2,1.0
4,0.8627450980392157,0.8852459016393442,0.8924430227908836,5,1.0
5,0.8235294117647058,0.8448275862068966,0.9040383846461416,5,1.0
6,0.8446601941747572,0.873015873015873,0.8839496459480723,2,1.0
7,0.8737864077669902,0.8907563025210085,0.8823760818253343,5,1.0
8,0.8725490196078431,0.8888888888888888,0.9400239904038384,10,0.1
9,0.8823529411764706,0.90625,0.9580167932826869,5,1.0
10,0.8529411764705882,0.8760330578512396,0.9222311075569772,10,1.0
