run_id,pkl,cv_auc,best_C,best_gamma
3,SetA+FRK_run3_auc0.9595_C5_g1.pkl,0.9595336059124737,5,1
10,SetA+FRK_run10_auc0.9595_C5_g1.pkl,0.9595323161058158,5,1
1,SetA+FRK_run1_auc0.9588_C5_g1.pkl,0.9587584321110267,5,1
8,SetA+FRK_run8_auc0.9586_C5_g1.pkl,0.9586178431853065,5,1
9,SetA+FRK_run9_auc0.9578_C5_g1.pkl,0.9578336407372536,5,1
4,SetA+FRK_run4_auc0.9576_C5_g1.pkl,0.9576079245721066,5,1
2,SetA+FRK_run2_auc0.9575_C2_g1.pkl,0.9574737846796765,2,1
7,SetA+FRK_run7_auc0.9562_C5_g1.pkl,0.9562355702880139,5,1
5,SetA+FRK_run5_auc0.9546_C2_g1.pkl,0.9545949362190607,2,1
6,SetA+FRK_run6_auc0.9542_C2_g1.pkl,0.9542389495814578,2,1
