fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.9029126213592233,0.9166666666666666,0.9398111723052714,5,1.0
2,0.8737864077669902,0.8976377952755905,0.9228953579858379,2,1.0
3,0.8627450980392157,0.8813559322033898,0.8912435025989603,5,1.0
4,0.8627450980392157,0.8870967741935484,0.9020391843262694,5,1.0
5,0.8627450980392157,0.8870967741935484,0.9492203118752499,2,1.0
6,0.8446601941747572,0.873015873015873,0.9130605822187254,10,0.1
7,0.8737864077669902,0.8925619834710744,0.9280094413847364,5,1.0
8,0.9019607843137255,0.9166666666666666,0.9576169532187125,5,1.0
9,0.8725490196078431,0.8943089430894309,0.8804478208716513,2,1.0
10,0.8627450980392157,0.8813559322033898,0.9048380647740902,5,1.0
