run_id,pkl,cv_auc,best_C,best_gamma
2,SetA+GRB14_run2_auc0.9613_C5_g1.pkl,0.9612696856741174,5,1
4,SetA+GRB14_run4_auc0.9610_C5_g1.pkl,0.9610388102823387,5,1
6,SetA+GRB14_run6_auc0.9607_C5_g1.pkl,0.9607163586178432,5,1
5,SetA+GRB14_run5_auc0.9601_C5_g1.pkl,0.960088222775406,5,1
3,SetA+GRB14_run3_auc0.9591_C5_g1.pkl,0.9591298964285253,5,1
10,SetA+GRB14_run10_auc0.9591_C10_g1.pkl,0.9591208677819194,10,1
7,SetA+GRB14_run7_auc0.9583_C5_g1.pkl,0.9583456939804723,5,1
8,SetA+GRB14_run8_auc0.9581_C5_g1.pkl,0.9581444841418272,5,1
9,SetA+GRB14_run9_auc0.9576_C5_g1.pkl,0.9576466187718463,5,1
1,SetA+GRB14_run1_auc0.9561_C5_g1.pkl,0.9561272265287434,5,1
