fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8349514563106796,0.864,0.880409126671912,5,1
2,0.9029126213592233,0.9180327868852459,0.9398111723052714,5,1
3,0.8725490196078431,0.8925619834710744,0.9148340663734505,10,1
4,0.8823529411764706,0.90625,0.9380247900839663,5,1
5,0.8431372549019608,0.8709677419354839,0.8676529388244701,10,1
6,0.8640776699029126,0.8852459016393442,0.9240755310778914,10,1
7,0.8349514563106796,0.8740740740740741,0.8469708890637293,10,1
8,0.8823529411764706,0.9047619047619048,0.9292283086765294,5,1
9,0.8921568627450981,0.9105691056910569,0.9028388644542182,1,1
10,0.8529411764705882,0.8760330578512396,0.8872451019592162,10,1
