run_id,pkl,cv_auc,best_C,best_gamma
4,SetA+HCK_run4_auc0.9593_C5_g1.pkl,0.9593465839470664,5,1
9,SetA+HCK_run9_auc0.9589_C2_g1.pkl,0.9589183681366164,2,1
10,SetA+HCK_run10_auc0.9585_C5_g1.pkl,0.9585327159458796,5,1
5,SetA+HCK_run5_auc0.9584_C5_g1.pkl,0.9583573022403942,5,1
6,SetA+HCK_run6_auc0.9578_C5_g1.pkl,0.9577884975042241,5,1
3,SetA+HCK_run3_auc0.9575_C5_g1.pkl,0.9574518579664909,5,1
8,SetA+HCK_run8_auc0.9574_C5_g1.pkl,0.9574131637667513,5,1
2,SetA+HCK_run2_auc0.9571_C5_g1.pkl,0.9570713650023862,5,1
7,SetA+HCK_run7_auc0.9569_C2_g1.pkl,0.9568753143903729,2,1
1,SetA+HCK_run1_auc0.9551_C2_g1.pkl,0.9551031200423058,2,1
