fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.883495145631068,0.9016393442622951,0.9433516915814321,2,1.0
2,0.883495145631068,0.896551724137931,0.9539732494099135,10,0.1
3,0.8543689320388349,0.8837209302325582,0.8658536585365854,2,1.0
4,0.9029126213592233,0.9193548387096774,0.9103068450039339,10,1.0
5,0.8921568627450981,0.9105691056910569,0.9216313474610155,10,0.1
6,0.8932038834951457,0.9147286821705426,0.9303697875688435,2,1.0
7,0.883495145631068,0.8983050847457628,0.929976396538159,1,1.0
8,0.8349514563106796,0.8617886178861789,0.8985051140833988,2,1.0
9,0.8737864077669902,0.8943089430894309,0.9063729346970889,5,1.0
10,0.8823529411764706,0.9016393442622951,0.9332267093162735,2,1.0
