fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8942307692307693,0.912,0.9303135888501743,2,1.0
2,0.8557692307692307,0.8818897637795275,0.9341850561362757,1,1.0
3,0.9029126213592233,0.9180327868852459,0.9421715184893785,5,1.0
4,0.8737864077669902,0.8925619834710744,0.9209284028324152,5,1.0
5,0.883495145631068,0.90625,0.8910306845003934,10,0.1
6,0.8461538461538461,0.873015873015873,0.8664343786295006,2,1.0
7,0.8846153846153846,0.9032258064516129,0.9423151374370887,2,1.0
8,0.8737864077669902,0.8925619834710744,0.9327301337529504,10,1.0
9,0.8446601941747572,0.8709677419354839,0.9036191974822975,10,0.1
10,0.8932038834951457,0.9105691056910569,0.9240755310778914,10,1.0
