run_id,pkl,cv_auc,best_C,best_gamma
3,SetA+NCK2_run3_auc0.9582_C5_g1.pkl,0.9581644249622221,5,1
6,SetA+NCK2_run6_auc0.9577_C5_g1.pkl,0.9576861114233262,5,1
5,SetA+NCK2_run5_auc0.9577_C5_g1.pkl,0.9576848625629113,5,1
4,SetA+NCK2_run4_auc0.9572_C5_g1.pkl,0.9571640877699099,5,1
10,SetA+NCK2_run10_auc0.9568_C5_g1.pkl,0.956773194460055,5,1
8,SetA+NCK2_run8_auc0.9564_C10_g1.pkl,0.9564434953105293,10,1
9,SetA+NCK2_run9_auc0.9558_C5_g1.pkl,0.9558178162426785,5,1
2,SetA+NCK2_run2_auc0.9556_C5_g1.pkl,0.9556179985762991,5,1
7,SetA+NCK2_run7_auc0.9551_C5_g1.pkl,0.9550884817603936,5,1
1,SetA+NCK2_run1_auc0.9535_C5_g1.pkl,0.9534699586627203,5,1
