fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8481012658227848,0.8378378378378378,0.886392811296534,10,1
2,0.8227848101265823,0.825,0.8803088803088803,10,1
3,0.8227848101265823,0.8055555555555556,0.8423423423423424,10,1
4,0.8589743589743589,0.8571428571428571,0.9452867501647989,10,1
5,0.8205128205128205,0.8055555555555556,0.8332234673698089,10,1
6,0.8734177215189873,0.868421052631579,0.9133504492939667,5,1
7,0.8354430379746836,0.821917808219178,0.8854568854568855,2,1
8,0.8354430379746836,0.8266666666666667,0.898970398970399,2,1
9,0.8461538461538461,0.85,0.901779828609097,5,1
10,0.8589743589743589,0.8493150684931506,0.9393539881344759,10,1
