run_id,pkl,cv_auc,best_C,best_gamma
2,SetA+SETB_run2_auc0.9689_C10_g1.pkl,0.9689097496542939,10,1
10,SetA+SETB_run10_auc0.9680_C5_g1.pkl,0.9679691978793391,5,1
4,SetA+SETB_run4_auc0.9667_C10_g1.pkl,0.9666734403576509,10,1
9,SetA+SETB_run9_auc0.9658_C10_g1.pkl,0.9657831130231644,10,1
7,SetA+SETB_run7_auc0.9652_C5_g1.pkl,0.96516257684422,5,1
3,SetA+SETB_run3_auc0.9643_C5_g1.pkl,0.9643469253225352,5,1
1,SetA+SETB_run1_auc0.9635_C2_g1.pkl,0.963489970807044,2,1
5,SetA+SETB_run5_auc0.9634_C10_g1.pkl,0.9633743224243865,10,1
6,SetA+SETB_run6_auc0.9630_C5_g1.pkl,0.9629847525868065,5,1
8,SetA+SETB_run8_auc0.9618_C5_g1.pkl,0.9617603666384154,5,1
