fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8571428571428571,0.8571428571428571,0.9569160997732427,10,1
2,0.8690476190476191,0.8641975308641975,0.9206349206349206,10,1
3,0.8433734939759037,0.8395061728395061,0.9210220673635308,5,1
4,0.8674698795180723,0.8641975308641975,0.913472706155633,5,1
5,0.7590361445783133,0.7560975609756098,0.7886178861788619,5,1
6,0.8095238095238095,0.8222222222222222,0.8497732426303856,10,1
7,0.9047619047619048,0.9047619047619048,0.9143990929705215,10,1
8,0.891566265060241,0.8941176470588236,0.9570267131242741,5,1
9,0.8192771084337349,0.8148148148148148,0.9126016260162602,5,1
10,0.8554216867469879,0.85,0.9140534262485481,5,1
