run_id,pkl,cv_auc,best_C,best_gamma
5,SetA+SETC_run5_auc0.9699_C5_g1.pkl,0.9699463525247498,5,1
10,SetA+SETC_run10_auc0.9696_C5_g1.pkl,0.969606216470328,5,1
3,SetA+SETC_run3_auc0.9683_C5_g1.pkl,0.9683175709308113,5,1
2,SetA+SETC_run2_auc0.9678_C5_g1.pkl,0.9677838615120844,5,1
9,SetA+SETC_run9_auc0.9669_C5_g1.pkl,0.96690725070516,5,1
8,SetA+SETC_run8_auc0.9668_C5_g1.pkl,0.9668325866932139,5,1
7,SetA+SETC_run7_auc0.9665_C5_g1.pkl,0.9665035119738953,5,1
4,SetA+SETC_run4_auc0.9655_C5_g1.pkl,0.965507991814612,5,1
6,SetA+SETC_run6_auc0.9650_C2_g1.pkl,0.9649853437309883,2,1
1,SetA+SETC_run1_auc0.9638_C10_g1.pkl,0.9637796582047453,10,1
