fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.9294117647058824,0.9333333333333333,0.9496124031007752,2,1
2,0.8588235294117647,0.8571428571428571,0.921373200442968,10,1
3,0.8095238095238095,0.8181818181818182,0.8944980147475894,5,1
4,0.8333333333333334,0.8444444444444444,0.8587634713556438,5,1
5,0.8928571428571429,0.896551724137931,0.9246031746031745,10,1
6,0.8352941176470589,0.8444444444444444,0.8826135105204873,10,1
7,0.8705882352941177,0.8817204301075269,0.8864894795127354,5,1
8,0.8452380952380952,0.8571428571428571,0.8996029495178672,10,1
9,0.8214285714285714,0.8275862068965517,0.8916619398752127,10,1
10,0.8095238095238095,0.7837837837837838,0.8928571428571429,10,1
