fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8390804597701149,0.8333333333333334,0.8846560846560847,10,1
2,0.9080459770114943,0.9111111111111111,0.9407407407407407,10,1
3,0.8850574712643678,0.8936170212765957,0.9158730158730158,2,1
4,0.8488372093023255,0.8539325842696629,0.9073170731707317,5,1
5,0.872093023255814,0.8817204301075269,0.9414634146341464,5,1
6,0.8620689655172413,0.8723404255319149,0.9195767195767197,5,1
7,0.8850574712643678,0.8780487804878049,0.9693121693121693,2,1
8,0.8505747126436781,0.8631578947368421,0.9190476190476191,10,1
9,0.8488372093023255,0.8505747126436781,0.9113821138211382,10,1
10,0.8488372093023255,0.8631578947368421,0.9111111111111111,5,1
