fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8476190476190476,0.8666666666666667,0.9310213414634145,2,1.0
2,0.8380952380952381,0.8682170542635659,0.8967225609756098,2,1.0
3,0.9134615384615384,0.9291338582677166,0.9605468749999999,2,1.0
4,0.8173076923076923,0.8527131782945736,0.8668215253581107,10,0.1
5,0.8846153846153846,0.9076923076923077,0.9260549748354626,10,0.1
6,0.8571428571428571,0.8760330578512396,0.9142530487804879,2,1.0
7,0.8761904761904762,0.8925619834710744,0.9363567073170732,2,1.0
8,0.8269230769230769,0.8656716417910447,0.8812500000000001,2,1.0
9,0.8942307692307693,0.9172932330827067,0.9198606271777003,2,1.0
10,0.9038461538461539,0.9193548387096774,0.9415408439798684,1,1.0
