run_id,pkl,cv_auc,best_C,best_gamma
1,SetA+SH3BP2_run1_auc0.9580_C10_g1.pkl,0.9580338087979093,10,1
2,SetA+SH3BP2_run2_auc0.9557_C5_g1.pkl,0.9557342782133178,5,1
7,SetA+SH3BP2_run7_auc0.9550_C2_g1.pkl,0.9549701776035618,2,1
9,SetA+SH3BP2_run9_auc0.9549_C5_g1.pkl,0.9548706083042973,5,1
4,SetA+SH3BP2_run4_auc0.9544_C2_g1.pkl,0.9543617523228803,2,1
5,SetA+SH3BP2_run5_auc0.9542_C2_g1.pkl,0.9541774039392179,2,1
10,SetA+SH3BP2_run10_auc0.9542_C10_g1.pkl,0.9541714152632597,10,1
3,SetA+SH3BP2_run3_auc0.9541_C10_g1.pkl,0.9541446779423151,10,1
6,SetA+SH3BP2_run6_auc0.9528_C2_g1.pkl,0.9528072977158342,2,1
8,SetA+SH3BP2_run8_auc0.9526_C1_g1.pkl,0.9526190173732093,1,1
