fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8285714285714286,0.85,0.8723323170731707,10,1.0
2,0.8380952380952381,0.8661417322834646,0.8871951219512195,2,1.0
3,0.9047619047619048,0.9242424242424242,0.9554115853658536,2,1.0
4,0.9047619047619048,0.9230769230769231,0.9314024390243902,10,0.1
5,0.8095238095238095,0.8412698412698413,0.8803353658536586,10,1.0
6,0.8285714285714286,0.8571428571428571,0.9214939024390244,2,1.0
7,0.8380952380952381,0.8661417322834646,0.9157774390243902,5,1.0
8,0.9142857142857143,0.9323308270676691,0.8738567073170732,5,1.0
9,0.8666666666666667,0.8888888888888888,0.9169207317073169,1,1.0
10,0.8666666666666667,0.890625,0.9275914634146342,5,0.1
