run_id,pkl,cv_auc,best_C,best_gamma
5,SetA+TENC1_run5_auc0.9553_C5_g1.pkl,0.9552591463414635,5,1
6,SetA+TENC1_run6_auc0.9546_C10_g1.pkl,0.9545731707317072,10,1
3,SetA+TENC1_run3_auc0.9543_C10_g1.pkl,0.9542682926829269,10,1
4,SetA+TENC1_run4_auc0.9539_C2_g1.pkl,0.9538871951219512,2,1
1,SetA+TENC1_run1_auc0.9536_C2_g1.pkl,0.9535823170731709,2,1
2,SetA+TENC1_run2_auc0.9530_C5_g1.pkl,0.953048780487805,5,1
10,SetA+TENC1_run10_auc0.9524_C5_g1.pkl,0.9523628048780488,5,1
7,SetA+TENC1_run7_auc0.9511_C2_g1.pkl,0.9511432926829269,2,1
8,SetA+TENC1_run8_auc0.9491_C5_g1.pkl,0.9490853658536584,5,1
9,SetA+TENC1_run9_auc0.9489_C2_g1.pkl,0.9489329268292683,2,1
