fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.8773584905660378,0.9007633587786259,0.9180112570356473,5,1
2,0.8952380952380953,0.912,0.9455030487804877,10,1
3,0.8476190476190476,0.8769230769230769,0.8715701219512195,2,1
4,0.8761904761904762,0.896,0.9298780487804879,10,1
5,0.8571428571428571,0.8837209302325582,0.9127286585365854,5,1
6,0.8490566037735849,0.8805970149253731,0.8772983114446529,5,1
7,0.8857142857142857,0.9090909090909091,0.9134908536585367,5,1
8,0.8571428571428571,0.88,0.9279725609756098,2,1
9,0.8571428571428571,0.8837209302325582,0.8723323170731707,10,1
10,0.9238095238095239,0.9365079365079365,0.963795731707317,10,1
