fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.83,0.8547008547008547,0.8941711451012815,2,1.0
2,0.83,0.8521739130434782,0.8441504754030591,10,0.1
3,0.9,0.9166666666666666,0.9491525423728814,5,1.0
4,0.91,0.9230769230769231,0.9260024803637867,10,1.0
5,0.898989898989899,0.9137931034482759,0.9386038687973086,1,1.0
6,0.85,0.8648648648648649,0.8983050847457626,5,1.0
7,0.85,0.8780487804878049,0.8978916907813147,10,1.0
8,0.91,0.9256198347107438,0.9545266639107068,2,1.0
9,0.83,0.8547008547008547,0.899545266639107,2,1.0
10,0.8585858585858586,0.875,0.9255677039529017,2,1.0
