run_id,pkl,cv_auc,best_C,best_gamma
4,SetA_run4_auc0.9597_C5_g1.pkl,0.9596712805234422,5,1
6,SetA_run6_auc0.9590_C5_g1.pkl,0.9589799147553137,5,1
8,SetA_run8_auc0.9589_C10_g1.pkl,0.9588758535159869,10,1
5,SetA_run5_auc0.9585_C2_g1.pkl,0.9585394363587119,2,1
7,SetA_run7_auc0.9570_C2_g1.pkl,0.9569913472366751,2,1
10,SetA_run10_auc0.9565_C10_g1.pkl,0.9564624880614675,10,1
3,SetA_run3_auc0.9560_C5_g1.pkl,0.9560205841684366,5,1
2,SetA_run2_auc0.9556_C2_g1.pkl,0.9555658508075437,2,1
1,SetA_run1_auc0.9553_C2_g1.pkl,0.9552522415931348,2,1
9,SetA_run9_auc0.9551_C2_g1.pkl,0.955081182021639,2,1
