run_id,pkl,cv_auc,best_C,best_gamma
7,setF2_run7_auc0.9581_C5_g1.pkl,0.9580806185684233,5,1
5,setF2_run5_auc0.9575_C5_g1.pkl,0.9574813804082096,5,1
2,setF2_run2_auc0.9573_C5_g1.pkl,0.9573278753766559,5,1
9,setF2_run9_auc0.9573_C2_g1.pkl,0.9572926260731138,2,1
6,setF2_run6_auc0.9566_C2_g1.pkl,0.9566399454204333,2,1
4,setF2_run4_auc0.9553_C5_g1.pkl,0.9552868269941441,5,1
1,setF2_run1_auc0.9546_C5_g1.pkl,0.9545909375177668,5,1
3,setF2_run3_auc0.9544_C5_g1.pkl,0.9544328841889816,5,1
8,setF2_run8_auc0.9540_C2_g1.pkl,0.9539689578713968,2,1
10,setF2_run10_auc0.9535_C2_g1.pkl,0.9534993461822729,2,1
