fold,accuracy,f1,roc_auc,best_C,best_gamma
1,0.865546218487395,0.8974358974358975,0.906816760475297,5,0.1
2,0.865546218487395,0.8933333333333333,0.8983739837398373,10,1.0
3,0.865546218487395,0.8974358974358975,0.9186991869918699,2,1.0
4,0.8389830508474576,0.8774193548387097,0.9080128205128205,5,1.0
5,0.8898305084745762,0.9161290322580645,0.948051948051948,10,1.0
6,0.8403361344537815,0.8774193548387097,0.8902439024390245,5,1.0
7,0.865546218487395,0.8947368421052632,0.9161976235146967,10,0.1
8,0.8571428571428571,0.8930817610062893,0.9262038774233896,10,1.0
9,0.8389830508474576,0.8789808917197452,0.8814102564102564,1,1.0
10,0.8983050847457628,0.918918918918919,0.9303135888501742,2,1.0
