C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9304184132798493,0.0034624634942192556,10
5.0,0.1,0.929108356657337,0.0033184735983733202,10
5.0,0.05,0.9290831409371736,0.002921318885803438,10
1.0,1.0,0.9288723865292592,0.003543912710940766,10
10.0,0.05,0.9287608827436766,0.003318668615391328,10
2.0,0.1,0.9287487585610916,0.0027840226853499497,10
2.0,1.0,0.9275618139840838,0.0033358634762103395,10
10.0,0.1,0.9274318659632922,0.003410978120164409,10
0.1,1.0,0.9271459158272174,0.0027459889340161426,10
10.0,0.01,0.9263257277734068,0.00256192201189839,10
2.0,0.05,0.9263107660161742,0.002597197153048141,10
1.0,0.1,0.9262120313165056,0.002702091359056545,10
5.0,1.0,0.9235592214727012,0.004333717914402315,10
0.5,0.1,0.9227588964414235,0.002217876528262436,10
1.0,0.05,0.9225967032541822,0.002248758261805861,10
5.0,0.01,0.922410777624434,0.0023067027905272373,10
10.0,1.0,0.9212983838722575,0.004345534300656493,10
0.5,0.05,0.9169996517522023,0.002476614036820181,10
0.01,1.0,0.9163848009183424,0.0024050631937523772,10
2.0,0.01,0.9150986057190027,0.0025200752424571456,10
0.1,0.1,0.9122058273464807,0.002348985228385211,10
0.1,0.05,0.9121463672595478,0.00241720479914595,10
0.5,0.01,0.9120053913918303,0.0023789536138474937,10
5.0,0.001,0.911973662148044,0.002356105045685447,10
2.0,0.001,0.9119107195831345,0.002368004487825856,10
1.0,0.01,0.911550541073893,0.0023883032416300016,10
10.0,0.001,0.9115033341502109,0.0023563650623699204,10
1.0,0.001,0.6862773600237324,0.11441089656870675,10
0.1,0.01,0.6529256684423005,0.08889953916008016,10
0.01,0.1,0.511211257432511,0.13296132100438607,10
0.01,0.001,0.0880892804168655,0.002368004487825853,10
0.1,0.001,0.0880892804168655,0.002368004487825853,10
0.5,0.001,0.0880892804168655,0.002368004487825853,10
0.01,0.01,0.08803420567256968,0.0023774265022572737,10
0.01,0.05,0.08774270936786577,0.002341913756290219,10
