fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.9029126213592233,0.9206349206349206,0.9468922108575923,0.5,1.0,0.9236415429808286
2,0.8446601941747572,0.8620689655172413,0.9331235247836349,0.5,1.0,0.930857374768089
3,0.8932038834951457,0.9133858267716536,0.933910306845004,0.5,1.0,0.9292517779839209
4,0.8640776699029126,0.8870967741935484,0.9453186467348546,0.5,1.0,0.9242987786023502
5,0.8627450980392157,0.8888888888888888,0.9124350259896041,10.0,0.05,0.9314802875695734
6,0.9029126213592233,0.9206349206349206,0.8965381589299763,5.0,0.1,0.9353386672850957
7,0.883495145631068,0.9032258064516129,0.9563335955940204,0.1,1.0,0.9210763760049474
8,0.8252427184466019,0.859375,0.9032258064516129,2.0,0.1,0.9307391774891774
9,0.8543689320388349,0.88,0.9260424862313139,0.5,1.0,0.9265933828076685
10,0.8725490196078431,0.8888888888888888,0.9536185525789683,0.5,1.0,0.9247382498453927
