C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9225948232951717,0.003828680995931305,10
1.0,1.0,0.9219873246447324,0.004304215914525644,10
2.0,1.0,0.9206434822640839,0.003989280968419,10
0.1,1.0,0.9206327184944744,0.003172757237694749,10
2.0,0.1,0.9188145025787712,0.004123162218992723,10
5.0,0.05,0.9184410189359152,0.004144178754126984,10
1.0,0.1,0.9182797213010934,0.003698852425843385,10
5.0,0.1,0.9181434904432402,0.004212537995036986,10
2.0,0.05,0.9178731202546289,0.0036962709234998723,10
10.0,0.05,0.9176812839873152,0.004372057310185273,10
10.0,0.01,0.9175967056695574,0.0037970523026777136,10
10.0,0.1,0.9173657695300724,0.004575916172644246,10
5.0,1.0,0.9172505626091041,0.004497456362773619,10
0.5,0.1,0.9154941869568164,0.0033036727906066835,10
1.0,0.05,0.9153515868731553,0.003308465089537259,10
5.0,0.01,0.9152103141497067,0.0033429401013323487,10
0.01,1.0,0.9148635319466158,0.003183161652854918,10
0.5,0.05,0.9134752229988525,0.003210649054292028,10
10.0,1.0,0.9134237375472347,0.0049745350509998055,10
2.0,0.01,0.9129034018279245,0.003098503345672163,10
0.1,0.1,0.9113474645784112,0.0036220906956873416,10
1.0,0.01,0.9109243474785998,0.003685381807468348,10
10.0,0.001,0.9107930299567439,0.0036369826821588892,10
0.1,0.05,0.9106809498103605,0.0035148468061488775,10
0.5,0.01,0.9105513522482163,0.003747135143948872,10
5.0,0.001,0.9104199061967625,0.0037328085108580544,10
2.0,0.001,0.16554518983821628,0.047484362575427846,10
0.01,0.001,0.08956615652100759,0.003677948120664518,10
0.1,0.001,0.08956615652100759,0.003677948120664518,10
0.5,0.001,0.08956615652100759,0.003677948120664518,10
1.0,0.001,0.08956615652100759,0.003677948120664518,10
0.01,0.01,0.08947652231624358,0.0037009208936808506,10
0.1,0.01,0.08947652231624358,0.0037009208936808506,10
0.01,0.05,0.08926330106071972,0.003584453164761149,10
0.01,0.1,0.08894834044919928,0.003471609041838077,10
