fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.9017857142857143,0.9219858156028369,0.9141188594984542,1.0,1,0.9195696460402344
2,0.8839285714285714,0.9115646258503401,0.9527210884353742,0.1,1,0.9089314194577351
3,0.875,0.9027777777777778,0.9197278911564626,2.0,1,0.9177375256322625
4,0.8288288288288288,0.8741721854304636,0.8787456445993032,0.5,1,0.9303073861123397
5,0.9009009009009009,0.920863309352518,0.9503484320557491,0.5,1,0.9120440919589526
6,0.8839285714285714,0.9139072847682119,0.90999656475438,0.5,1,0.9150050929462694
7,0.8303571428571429,0.8652482269503546,0.8819727891156462,5.0,1,0.9283758639021796
8,0.9107142857142857,0.9305555555555556,0.9510204081632654,0.5,1,0.9140464798359534
9,0.8738738738738738,0.9014084507042254,0.9362369337979094,0.5,1,0.9187903470798208
10,0.8558558558558559,0.8840579710144928,0.9121951219512195,0.1,1,0.918021546736717
