C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9329630728353819,0.002042785127433697,10
1.0,1.0,0.9315033986405437,0.002920734604936518,10
5.0,0.05,0.9313608750048369,0.0021569433652039883,10
2.0,0.1,0.9312634301118262,0.002287653100163615,10
5.0,0.1,0.9312582063948615,0.0024966078642320064,10
10.0,0.05,0.9311909429776476,0.0025261570899752298,10
10.0,0.1,0.9297769924288349,0.002945168823113452,10
2.0,1.0,0.9290215526692549,0.0030136390787007267,10
0.1,1.0,0.9286570533077091,0.001786063486973739,10
1.0,0.1,0.9284722240136203,0.002061367944464609,10
2.0,0.05,0.928310159807045,0.002235111967253895,10
10.0,0.01,0.9281123034657105,0.00225584730897528,10
5.0,1.0,0.9250989926610002,0.003893055401990107,10
0.5,0.1,0.9248298745018122,0.0021105316461387915,10
5.0,0.01,0.9247142433349241,0.0019314113654346572,10
1.0,0.05,0.9246670364112418,0.001975106259746832,10
10.0,1.0,0.9217394332589546,0.0040209396483708,10
0.5,0.05,0.9197876978240961,0.0018801033493826465,10
0.01,1.0,0.918102307464111,0.0020590515797474277,10
2.0,0.01,0.9178936167468497,0.002291575971759743,10
0.1,0.1,0.9146252466755234,0.0018435542700109468,10
0.1,0.05,0.9145865524757838,0.0018501449612363654,10
0.5,0.01,0.9144356450967999,0.0018247263318132828,10
5.0,0.001,0.9143881157214533,0.0018364729529274145,10
2.0,0.001,0.9143176277875946,0.0018578095997557012,10
1.0,0.01,0.9139819556048548,0.001875330782157842,10
10.0,0.001,0.913926880860559,0.0018822190353854332,10
1.0,0.001,0.7022169196837394,0.07042298178926677,10
0.1,0.01,0.6859621312765216,0.08283096554679896,10
0.01,0.1,0.620919761127807,0.11479033710464266,10
0.01,0.001,0.08568237221240536,0.0018578095997556785,10
0.1,0.001,0.08568237221240536,0.0018578095997556785,10
0.5,0.001,0.08568237221240536,0.0018578095997556785,10
0.01,0.01,0.0856507719492848,0.0018699243539880214,10
0.01,0.05,0.0854926416530162,0.001871215065553704,10
