fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8932038834951457,0.9133858267716536,0.9535798583792289,0.5,1.0,0.9236459492888065
2,0.8640776699029126,0.8833333333333333,0.9398111723052714,0.5,1.0,0.9283832714904143
3,0.8349514563106796,0.859504132231405,0.8981117230527144,0.5,1.0,0.9395412801484231
4,0.9029126213592233,0.9230769230769231,0.9543666404405979,0.5,1.0,0.9248365027829314
5,0.8529411764705882,0.8818897637795275,0.9248300679728109,0.5,1.0,0.929129329004329
6,0.883495145631068,0.9047619047619048,0.8910306845003934,5.0,0.1,0.9397758967223252
7,0.9029126213592233,0.9180327868852459,0.9649881982690794,0.5,1.0,0.918739332096475
8,0.8543689320388349,0.8818897637795275,0.889063729346971,2.0,0.1,0.9311822820037106
9,0.8640776699029126,0.8888888888888888,0.9256490952006294,0.5,1.0,0.9306334260977117
10,0.8921568627450981,0.907563025210084,0.9556177528988404,0.5,1.0,0.9189317408781695
