C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.933613070900672,0.002729220601276748,10
2.0,0.1,0.9318653183887735,0.002422468809761769,10
5.0,0.05,0.9317359507809779,0.0026990957340251266,10
1.0,1.0,0.931675200887387,0.0026699763835312308,10
5.0,0.1,0.9316352168809896,0.0021669242734278773,10
10.0,0.05,0.9314853413473321,0.002389341967918926,10
0.1,1.0,0.9304368575150586,0.002846761244508713,10
1.0,0.1,0.930256284582941,0.0026127929562121638,10
2.0,0.05,0.9300125111245825,0.0025285316562250484,10
10.0,0.01,0.9297510673150094,0.0025086748744861894,10
10.0,0.1,0.929742490100734,0.002982086146631631,10
2.0,1.0,0.9293064709600032,0.002980431769365689,10
1.0,0.05,0.9269241980627104,0.0022434487173178873,10
0.5,0.1,0.9269240690820446,0.0022536946500195955,10
5.0,0.01,0.9269172331067572,0.0023057702867604083,10
5.0,1.0,0.9252207504095136,0.0036088195858819156,10
10.0,1.0,0.9229439836968438,0.003486239052036861,10
0.5,0.05,0.9218423598302614,0.002269160600118283,10
0.01,1.0,0.9204899330590346,0.0020677392819015154,10
2.0,0.01,0.9198991371193458,0.002237134357086618,10
0.1,0.05,0.9164838580696755,0.0021697984345214524,10
0.1,0.1,0.9163427532212921,0.001965939754759341,10
0.5,0.01,0.9162407295146459,0.0021078590259398706,10
5.0,0.001,0.9162088712901936,0.0021140307063204473,10
2.0,0.001,0.9161850098670209,0.002118874393538956,10
1.0,0.01,0.915738801253692,0.0019180001917272758,10
10.0,0.001,0.9157036540222621,0.001899195793956435,10
0.1,0.01,0.7597573873676337,0.05629079100625763,10
1.0,0.001,0.7597412647844088,0.056289446699882895,10
0.01,0.1,0.6065711779804207,0.11009165427938473,10
0.01,0.001,0.08381499013297908,0.0021188743935389508,10
0.1,0.001,0.08381499013297908,0.0021188743935389508,10
0.5,0.001,0.08381499013297908,0.0021188743935389508,10
0.01,0.01,0.0837988675497543,0.002129856592638524,10
0.01,0.05,0.08361777869497362,0.0021457765178699395,10
