fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8640776699029126,0.8870967741935484,0.9492525570416994,0.5,1.0,0.9253031849103277
2,0.883495145631068,0.9,0.928402832415421,0.5,1.0,0.938719387755102
3,0.8737864077669902,0.8976377952755905,0.9268292682926829,1.0,1.0,0.9380824056895486
4,0.8446601941747572,0.8688524590163934,0.937844217151849,0.5,1.0,0.9328223562152134
5,0.8431372549019608,0.875,0.9280287884846061,5.0,0.05,0.9325483147804576
6,0.9029126213592233,0.9206349206349206,0.8981117230527145,0.5,1.0,0.9427484539270253
7,0.9320388349514563,0.943089430894309,0.9744295830055075,0.5,1.0,0.9174790507111936
8,0.8640776699029126,0.890625,0.9055861526357198,2.0,0.1,0.9295425943104515
9,0.8640776699029126,0.8888888888888888,0.9240755310778914,0.5,1.0,0.9278243661100802
10,0.8627450980392157,0.8813559322033898,0.9520191923230708,0.5,1.0,0.9245945423623997
