C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9331358424372187,0.002973206009271371,10
1.0,1.0,0.9320340250996375,0.0026319575845476445,10
2.0,0.1,0.9311979724239337,0.0024228266081366343,10
5.0,0.05,0.9311819788213747,0.0025616263824204057,10
5.0,0.1,0.9309799950987347,0.0022992415890373532,10
10.0,0.05,0.9308781003727541,0.0024290385795930117,10
10.0,0.1,0.9298016922263352,0.0020969518623241276,10
0.1,1.0,0.9296745817801911,0.0028126011224253915,10
2.0,1.0,0.9294599579523029,0.002631201802781696,10
1.0,0.1,0.9290550876423624,0.0025759647424994946,10
2.0,0.05,0.9288247926635798,0.002655689636714322,10
10.0,0.01,0.9288126684809948,0.0025904122127956893,10
0.5,0.1,0.9263689362964491,0.0025569622767037084,10
1.0,0.05,0.9262581419045285,0.0023906352751397776,10
5.0,0.01,0.9261072345255446,0.0023967927096212606,10
5.0,1.0,0.9249344778217745,0.0031955820671466482,10
10.0,1.0,0.9220825218299776,0.004144593971601167,10
0.5,0.05,0.9212256387767473,0.0027892151146961175,10
0.01,1.0,0.9203078768492603,0.0029418233578533443,10
2.0,0.01,0.9194596355006384,0.0027708078422000884,10
0.1,0.1,0.9165652448697938,0.0026071243559727497,10
0.1,0.05,0.9162905160516438,0.002728697331356649,10
5.0,0.001,0.9161064606415499,0.0025729519820126014,10
0.5,0.01,0.9160039210122403,0.0026251833864169923,10
1.0,0.01,0.9157267415614398,0.0024677089870163266,10
10.0,0.001,0.9156511588912822,0.002469432391531342,10
2.0,0.001,0.13305155357211956,0.08055462220056125,10
0.01,0.1,0.10432678541486631,0.023123987342450206,10
0.01,0.001,0.08390914601901175,0.0026160661756288862,10
0.1,0.001,0.08390914601901175,0.0026160661756288862,10
0.5,0.001,0.08390914601901175,0.0026160661756288862,10
1.0,0.001,0.08390914601901175,0.0026160661756288862,10
0.01,0.01,0.08389328139711857,0.0025947549213413265,10
0.1,0.01,0.08389328139711857,0.0025947549213413265,10
0.01,0.05,0.08366189008267662,0.0026789578877803623,10
