fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8932038834951457,0.9105691056910569,0.939417781274587,2.0,0.1,0.9181161100803958
2,0.8349514563106796,0.859504132231405,0.9107002360346184,0.1,1.0,0.9256880024737167
3,0.9117647058823529,0.928,0.9256297481007597,2.0,0.1,0.9251017316017316
4,0.8725490196078431,0.896,0.9300279888044782,10.0,0.1,0.933618970315399
5,0.8627450980392157,0.8870967741935484,0.9312275089964015,0.5,1.0,0.9256978200371057
6,0.8640776699029126,0.8923076923076924,0.911093627065303,0.5,1.0,0.9342377860235004
7,0.8446601941747572,0.873015873015873,0.9315499606608969,0.1,1.0,0.9316944959802103
8,0.8529411764705882,0.8760330578512396,0.9356257497001199,0.5,1.0,0.9256965058750772
9,0.8529411764705882,0.8739495798319328,0.9220311875249899,0.5,1.0,0.9403494124922694
10,0.8921568627450981,0.907563025210084,0.9560175929628149,0.5,1.0,0.9230200989486704
