fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8737864077669902,0.8925619834710744,0.9311565696302125,0.5,1.0,0.9305813234384663
2,0.8640776699029126,0.8870967741935484,0.9311565696302124,0.5,1.0,0.9295454545454545
3,0.9117647058823529,0.9291338582677166,0.9320271891243503,0.5,1.0,0.9237899659863945
4,0.8529411764705882,0.8780487804878049,0.9176329468212715,5.0,0.05,0.9373058905380335
5,0.8823529411764706,0.9047619047619048,0.9408236705317872,0.5,1.0,0.9319149659863946
6,0.8543689320388349,0.8818897637795275,0.9024390243902439,0.5,1.0,0.9360428262213978
7,0.883495145631068,0.90625,0.9236821400472068,2.0,0.1,0.9356099257884972
8,0.9019607843137255,0.9206349206349206,0.948420631747301,0.5,1.0,0.9216345856524427
9,0.8431372549019608,0.864406779661017,0.8988404638144741,0.5,1.0,0.940502009894867
10,0.9117647058823529,0.9256198347107438,0.968812475009996,0.5,1.0,0.9253425324675325
