C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9311488952805975,0.0025017078036815212,10
2.0,0.1,0.9300076743496151,0.001981970471639727,10
5.0,0.05,0.9299599515032696,0.0019020798131427132,10
5.0,0.1,0.9299449252557042,0.0023153229227426964,10
10.0,0.05,0.929646592975713,0.0022754084797072865,10
1.0,1.0,0.9293018276560344,0.002029094129614053,10
0.1,1.0,0.9284606157536984,0.0020441415771945966,10
10.0,0.1,0.9278124234177296,0.002942296226322822,10
1.0,0.1,0.9277775341476312,0.0015605217664329673,10
2.0,0.05,0.9276815725322773,0.0015608767222045456,10
10.0,0.01,0.9275614915324193,0.0015984277693639702,10
2.0,1.0,0.9268742180547136,0.0032221020834507833,10
0.5,0.1,0.9249852317137661,0.0012975944025335384,10
1.0,0.05,0.9248897860210755,0.0013229682203051841,10
5.0,0.01,0.9248058840979738,0.0012682020730707627,10
5.0,1.0,0.9233085475487224,0.0030307532157536695,10
0.5,0.05,0.9204854832260644,0.001873554877702627,10
10.0,1.0,0.9201280778011377,0.0037534671534305555,10
0.01,1.0,0.9193009247913737,0.0020345637699999124,10
2.0,0.01,0.9186615031406792,0.0018412611455984082,10
0.1,0.05,0.9156369065277115,0.0023742316596201698,10
0.1,0.1,0.9155818962737486,0.0021697502464060317,10
5.0,0.001,0.9154376313990532,0.002197193822242238,10
0.5,0.01,0.9154136409952148,0.002273744626689464,10
1.0,0.01,0.9150101894725979,0.0021312995215422453,10
10.0,0.001,0.9148991371193457,0.002130264251238401,10
2.0,0.001,0.16551147283022277,0.11446918908597725,10
0.01,0.1,0.1049289961434781,0.024831832301896957,10
0.01,0.001,0.08466174820394423,0.002131041864629908,10
0.1,0.001,0.08466174820394423,0.002131041864629908,10
0.5,0.001,0.08466174820394423,0.002131041864629908,10
1.0,0.001,0.08466174820394423,0.002131041864629908,10
0.01,0.01,0.08462228012020998,0.0021021961867421844,10
0.1,0.01,0.08462228012020998,0.0021021961867421844,10
0.01,0.05,0.08436780126659013,0.0020926117260727604,10
