fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.883495145631068,0.9,0.925255704169945,5.0,0.1,0.9316055967841683
2,0.8737864077669902,0.896,0.9339103068450039,1.0,1.0,0.9278834260977117
3,0.8921568627450981,0.9105691056910569,0.9236305477808876,0.5,1.0,0.9270425943104513
4,0.8529411764705882,0.8818897637795275,0.9272291083566574,0.5,1.0,0.935436147186147
5,0.9019607843137255,0.9206349206349206,0.9292283086765293,0.5,1.0,0.9315044836116264
6,0.8543689320388349,0.8818897637795275,0.9213217938631,0.5,1.0,0.9319882498453926
7,0.8737864077669902,0.8992248062015504,0.9339103068450039,0.1,1.0,0.925734384662956
8,0.8529411764705882,0.8760330578512396,0.9276289484206317,0.5,1.0,0.9260281385281386
9,0.7941176470588235,0.8141592920353983,0.8828468612554978,5.0,0.1,0.942263837353123
10,0.9313725490196079,0.943089430894309,0.9708116753298681,0.5,1.0,0.9210885899814472
