C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9313129269541542,0.001613336019525978,10
1.0,1.0,0.9303019744483159,0.0019051583867779858,10
5.0,0.05,0.9294947110761431,0.0011703245980000624,10
2.0,0.1,0.9292654203039726,0.0013758039017258234,10
5.0,0.1,0.9288913866097186,0.001158271157631519,10
10.0,0.05,0.9287977220786032,0.0012776919407014873,10
0.1,1.0,0.9282172517577709,0.002133118760375064,10
1.0,0.1,0.927862450513906,0.0016446685147664456,10
2.0,0.05,0.9278577048443296,0.0016683147774517564,10
10.0,0.01,0.9276471469783824,0.0017133778732792834,10
10.0,0.1,0.9276268529966405,0.0013756609892424442,10
2.0,1.0,0.9274685599390556,0.001857524570492962,10
0.5,0.1,0.9242806564010341,0.0019362493055988918,10
1.0,0.05,0.924112872004296,0.0018933514204621954,10
5.0,0.01,0.9241058783859728,0.0020168329743684432,10
5.0,1.0,0.9230230539632585,0.0025480472457518094,10
0.5,0.05,0.9201562324379005,0.002502478484312004,10
10.0,1.0,0.9193144380752563,0.004187179022362025,10
0.01,1.0,0.9185375844541855,0.0030201031146954143,10
2.0,0.01,0.9184686473592846,0.0025076996335285035,10
0.1,0.05,0.9155411312177637,0.002636608523844711,10
0.1,0.1,0.9155243340451837,0.0028750657972038897,10
0.5,0.01,0.9151540469321743,0.0024903571915732407,10
5.0,0.001,0.915126634446068,0.0024556950051035126,10
1.0,0.01,0.9149822661821089,0.0026458905605003325,10
10.0,0.001,0.9148886640940143,0.0026523451567803296,10
2.0,0.001,0.4687884805115332,0.07298994900049961,10
0.5,0.001,0.09531852184881295,0.02213562546350012,10
0.01,0.05,0.08741286076455235,0.009248889175451443,10
0.01,0.001,0.08468122837910406,0.0026992322645132717,10
0.1,0.001,0.08468122837910406,0.0026992322645132717,10
1.0,0.001,0.08468122837910406,0.0026992322645132717,10
0.01,0.01,0.0846421390481186,0.002696928981452001,10
0.1,0.01,0.0846421390481186,0.002696928981452001,10
0.01,0.1,0.08430644536860114,0.0026935763679870684,10
