fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.9134615384615384,0.9302325581395349,0.9512195121951219,0.5,1.0,0.9227278138528139
2,0.8653846153846154,0.8833333333333333,0.9326364692218351,0.5,1.0,0.9365433673469388
3,0.8252427184466019,0.8524590163934426,0.9118804091266719,0.5,1.0,0.9339356060606061
4,0.8543689320388349,0.88,0.919748229740362,5.0,0.05,0.9357234848484849
5,0.8543689320388349,0.8854961832061069,0.9327301337529503,2.0,0.1,0.9290492424242422
6,0.8942307692307693,0.9133858267716536,0.9399922570654278,2.0,0.1,0.9233874458874458
7,0.875,0.9007633587786259,0.9113433991482772,0.5,1.0,0.940949829931973
8,0.912621359223301,0.928,0.9512195121951219,0.1,1.0,0.9194071969696971
9,0.8155339805825242,0.8429752066115702,0.8800157356412274,2.0,0.1,0.9373674242424241
10,0.883495145631068,0.9032258064516129,0.9335169158143194,2.0,1.0,0.9264962121212121
