C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9314924173683702,0.003856659845152778,10
2.0,0.1,0.9305121951219512,0.003173751451997665,10
5.0,0.05,0.9302108074428957,0.003157365707573402,10
5.0,0.1,0.9299444807394502,0.0034598383709763423,10
0.1,1.0,0.9298658702937477,0.002811295631011416,10
1.0,1.0,0.9297699924990322,0.0043131471450771055,10
10.0,0.05,0.9296503823073945,0.003535177320225939,10
1.0,0.1,0.9287519886638599,0.002952551458820852,10
2.0,0.05,0.9285514542198994,0.003125358125787401,10
10.0,0.1,0.9285379010598142,0.003824571232285676,10
10.0,0.01,0.9283856102400309,0.0031430912666144924,10
2.0,1.0,0.9270028491579559,0.004649209596715709,10
0.5,0.1,0.9263711043360434,0.00293173897151721,10
1.0,0.05,0.9263477908439798,0.0029865665892378672,10
5.0,0.01,0.9262472325058072,0.002956588146133207,10
5.0,1.0,0.9229324459204413,0.005207710905762205,10
0.5,0.05,0.922224130734611,0.0032977776239281375,10
0.01,1.0,0.921903567194154,0.0028530350705394058,10
10.0,1.0,0.9211659105207124,0.005705251369608572,10
2.0,0.01,0.9207956379452188,0.0034687369567596234,10
0.1,0.05,0.9191186574477351,0.0037868173776246495,10
5.0,0.001,0.9189963750362949,0.0037270468857041198,10
0.1,0.1,0.9189943137824235,0.0035216863317186517,10
0.5,0.01,0.9188831164706736,0.0036634906102891093,10
1.0,0.01,0.9183681220963995,0.0036233108466496543,10
10.0,0.001,0.9183256992837785,0.0035873520941912653,10
2.0,0.001,0.4010731041908633,0.050918926171342256,10
0.01,0.05,0.18740422957801006,0.016092840160709884,10
0.5,0.001,0.18390199138598531,0.02653602762295737,10
0.01,0.001,0.08104261638598528,0.003748549879690361,10
0.1,0.001,0.08104261638598528,0.003748549879690361,10
1.0,0.001,0.08104261638598528,0.003748549879690361,10
0.01,0.01,0.08100362345141308,0.0037328282159650008,10
0.1,0.01,0.08100362345141308,0.0037328282159650008,10
0.01,0.1,0.08055469959833526,0.0034873943276563157,10
