fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8761904761904762,0.896,0.9420731707317074,0.5,1.0,0.923280303030303
2,0.8476190476190476,0.8769230769230769,0.911966463414634,0.5,1.0,0.9388281342840166
3,0.8557692307692307,0.8837209302325582,0.925390625,0.5,1.0,0.931044266191325
4,0.8653846153846154,0.890625,0.9223770809136663,0.5,1.0,0.9363784907902556
5,0.9038461538461539,0.9180327868852459,0.9547038327526132,10.0,0.05,0.9222704991087344
6,0.8952380952380953,0.9105691056910569,0.9557926829268293,0.5,1.0,0.9267308377896614
7,0.9047619047619048,0.9230769230769231,0.9615091463414634,0.5,1.0,0.9180221330956625
8,0.8365384615384616,0.8682170542635659,0.9039062499999999,0.5,1.0,0.932883541295306
9,0.8269230769230769,0.859375,0.9036004645760743,1.0,1.0,0.9369800950683302
10,0.8846153846153846,0.9047619047619048,0.9423151374370886,0.5,1.0,0.9247623291740938
