C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.92609375,0.0022602544755721027,10
0.1,1.0,0.9251067073170732,0.0027629383351370604,10
1.0,1.0,0.9247141768292684,0.002550112588261854,10
2.0,0.1,0.9243902439024391,0.0022184548512260687,10
5.0,0.1,0.924359756097561,0.002107729457228501,10
5.0,0.05,0.9243559451219513,0.002065163584469358,10
10.0,0.05,0.9238795731707317,0.0019843276661799477,10
1.0,0.1,0.9234184451219513,0.0022025585473068703,10
2.0,0.05,0.9230525914634147,0.0022728137961408996,10
10.0,0.1,0.9229649390243904,0.00251564164958924,10
10.0,0.01,0.922686737804878,0.0022454269155089647,10
2.0,1.0,0.9221608231707317,0.002776132903849599,10
0.5,0.1,0.9203849085365853,0.0025743101848897695,10
1.0,0.05,0.920125762195122,0.0025548668563521214,10
5.0,0.01,0.9198246951219513,0.0023208949235691257,10
0.01,1.0,0.9182317073170732,0.0024586093339319733,10
5.0,1.0,0.9180525914634146,0.003009038162382807,10
0.5,0.05,0.9172141768292683,0.002187915287577064,10
2.0,0.01,0.9157621951219512,0.002371816563395487,10
10.0,1.0,0.9156745426829268,0.004316715697543682,10
0.1,0.1,0.9150342987804878,0.0027312435003022206,10
0.1,0.05,0.9150076219512195,0.002607962482482033,10
0.5,0.01,0.9147637195121952,0.0025986892127499352,10
1.0,0.01,0.9143711890243903,0.0026017457267698053,10
5.0,0.001,0.9143597560975609,0.002810653003961646,10
10.0,0.001,0.9143368902439025,0.002615130351639216,10
1.0,0.001,0.08794207317073172,0.003891559933205272,10
0.1,0.01,0.08731707317073172,0.0036002369933412193,10
2.0,0.001,0.08549542682926829,0.002641555659199282,10
0.01,0.001,0.08532774390243902,0.00258179339212198,10
0.1,0.001,0.08532774390243902,0.00258179339212198,10
0.5,0.001,0.08532774390243902,0.00258179339212198,10
0.01,0.01,0.08523628048780488,0.0025986892127499504,10
0.01,0.1,0.08513719512195123,0.002790323600141949,10
0.01,0.05,0.085,0.0026157103358693803,10
