fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8380952380952381,0.8617886178861789,0.8917682926829268,0.1,1.0,0.9302940319484436
2,0.8761904761904762,0.9007633587786259,0.9474085365853658,0.1,1.0,0.9135965851958499
3,0.8761904761904762,0.8976377952755905,0.9321646341463414,0.5,1.0,0.9285277834910188
4,0.8380952380952381,0.8682170542635659,0.9222560975609757,0.1,1.0,0.9279574592074592
5,0.8761904761904762,0.8992248062015504,0.928734756097561,0.5,1.0,0.9249689342520224
6,0.9142857142857143,0.9291338582677166,0.9565548780487805,0.5,1.0,0.9210812879930528
7,0.8571428571428571,0.88,0.9317835365853658,0.1,1.0,0.9140111522464464
8,0.8380952380952381,0.8682170542635659,0.9146341463414633,2.0,0.1,0.9290207647744413
9,0.8476190476190476,0.8787878787878788,0.9051067073170731,0.5,1.0,0.9344413450111979
10,0.8666666666666667,0.8939393939393939,0.9207317073170732,1.0,1.0,0.9182623748800219
