C,gamma,mean_auc,std_across_runs,n_runs
1.0,1.0,0.9354661868910906,0.003991557569886619,10
0.5,1.0,0.935252253904372,0.0033035871221329892,10
2.0,1.0,0.9346409200324477,0.003503648319832492,10
0.1,1.0,0.9342948174655492,0.0024034396312895613,10
5.0,1.0,0.9328098013656423,0.003952893003158493,10
2.0,0.1,0.9305987612406097,0.002985926483043323,10
5.0,0.05,0.9302449845774621,0.002903796634113865,10
10.0,1.0,0.9301942562404694,0.003851741101003926,10
5.0,0.1,0.9300438968218172,0.003501215852913333,10
1.0,0.1,0.9298725554823116,0.0031271378855006445,10
10.0,0.1,0.929675606286646,0.0043576767729982275,10
10.0,0.05,0.929637549708153,0.003462651081079017,10
2.0,0.05,0.9294241288785576,0.0031078633636634815,10
10.0,0.01,0.9291032624408748,0.0029755303540565494,10
0.01,1.0,0.928885496536331,0.002472877046517045,10
0.5,0.1,0.9286576857436935,0.002881645341854564,10
1.0,0.05,0.92847325961575,0.0029393468045936038,10
5.0,0.01,0.928083475002602,0.0029414389923023794,10
0.5,0.05,0.9257432143311476,0.002616194913892844,10
2.0,0.01,0.9248540765228827,0.002542194346705761,10
0.1,0.1,0.924052327588913,0.002854650415676357,10
0.1,0.05,0.9235820764832319,0.0028704688896534535,10
1.0,0.01,0.9234504438419714,0.0028694351608240685,10
10.0,0.001,0.9234105451499547,0.002809194808214141,10
0.5,0.01,0.9233335315877037,0.002897935750514892,10
5.0,0.001,0.9231031600094501,0.003020978253406923,10
0.1,0.01,0.31502674781878887,0.02184906469652172,10
1.0,0.001,0.3140944153396015,0.02269240209464558,10
0.01,0.1,0.2805905502054411,0.04296119531679156,10
2.0,0.001,0.21572062985413437,0.10276145431559852,10
0.01,0.001,0.07670567321401725,0.0028908242026487235,10
0.1,0.001,0.07670567321401725,0.0028908242026487235,10
0.5,0.001,0.07670567321401725,0.0028908242026487235,10
0.01,0.01,0.0766664684122964,0.002897935750514926,10
0.01,0.05,0.07641792351676821,0.0028704688896534236,10
