fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8607594936708861,0.8641975308641975,0.9184852374839538,0.5,1,0.9326719527936568
2,0.8354430379746836,0.821917808219178,0.9105534105534107,0.5,1,0.9409334726576105
3,0.8734177215189873,0.8611111111111112,0.9716859716859718,1.0,1,0.9305120167189134
4,0.9102564102564102,0.9041095890410958,0.96044825313118,0.5,1,0.9245423812158092
5,0.8461538461538461,0.8461538461538461,0.9307844429795649,1.0,1,0.939118159280431
6,0.8607594936708861,0.8450704225352113,0.9582798459563543,0.5,1,0.9344884955026943
7,0.7974683544303798,0.8,0.87001287001287,2.0,1,0.9497805642633228
8,0.8860759493670886,0.8767123287671232,0.9517374517374517,1.0,1,0.9269731800766283
9,0.9102564102564102,0.9041095890410958,0.952537903757416,0.5,1,0.927423935091278
10,0.8333333333333334,0.8266666666666667,0.9314436387607119,0.1,1,0.9253717704427643
