fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8809523809523809,0.8809523809523809,0.9467120181405897,1.0,1,0.9420461297466645
2,0.8571428571428571,0.8604651162790697,0.9484126984126984,1.0,1,0.93527251120834
3,0.8674698795180723,0.8705882352941177,0.9477351916376306,0.5,1,0.9431588613406795
4,0.8795180722891566,0.875,0.9413472706155633,0.1,1,0.9321449792038028
5,0.9036144578313253,0.9069767441860465,0.9471544715447155,1.0,1,0.9412034786366338
6,0.8690476190476191,0.8735632183908046,0.9399092970521542,0.5,1,0.9444066331766867
7,0.8690476190476191,0.8705882352941177,0.9246031746031745,2.0,1,0.9312483119969752
8,0.8795180722891566,0.875,0.9610917537746806,1.0,1,0.9326635337330526
9,0.8674698795180723,0.8735632183908046,0.9030197444831591,0.5,1,0.9479879003943175
10,0.9036144578313253,0.9069767441860465,0.9692218350754936,0.5,1,0.9314319667260843
