C,gamma,mean_auc,std_across_runs,n_runs
2.0,1.0,0.9368345674439184,0.0030214721482332454,10
1.0,1.0,0.9359477892121113,0.0029244038782672175,10
0.5,1.0,0.9350531651495917,0.002985505675657474,10
5.0,1.0,0.9350336534689504,0.0033430871907984537,10
10.0,1.0,0.9324543526996731,0.0044748185480200115,10
10.0,0.1,0.9307868853724134,0.003075004085274153,10
0.1,1.0,0.9303373321345934,0.002655401149009295,10
5.0,0.1,0.9299797037362876,0.0026560441539248726,10
10.0,0.05,0.9291840400368884,0.0026558200287353727,10
5.0,0.05,0.928051703381296,0.0031913283361418277,10
2.0,0.1,0.9278258367063975,0.003353342755615851,10
1.0,0.1,0.9253125856128044,0.0028174976331325334,10
2.0,0.05,0.9248621191717374,0.0028019057933140693,10
0.01,1.0,0.9246748289030113,0.0026119400753179807,10
10.0,0.01,0.9245436395393855,0.0029514208663597684,10
0.5,0.1,0.9234966295082978,0.003014570058263959,10
1.0,0.05,0.9230909743364164,0.003084533125017716,10
5.0,0.01,0.9227206704198034,0.0033304667061905967,10
0.5,0.05,0.9205532661164295,0.0033588449464614007,10
0.1,0.1,0.9198259254543185,0.002877600469371152,10
0.1,0.05,0.9196769961529705,0.0030053729266910786,10
0.5,0.01,0.9192919941657889,0.0029586275326997035,10
5.0,0.001,0.9192012654939079,0.002967452478636174,10
2.0,0.01,0.9190842565046438,0.003081920437005026,10
1.0,0.01,0.9189039953285153,0.002910427895117877,10
10.0,0.001,0.918842977917202,0.0028025474861516244,10
2.0,0.001,0.4116782103274284,0.010522720808467818,10
1.0,0.001,0.24618540855555687,0.005425982706584235,10
0.1,0.01,0.2461286934891181,0.005392990761423898,10
0.01,0.1,0.2456863172570976,0.00537329242217079,10
0.5,0.001,0.10254753480140404,0.02351723807352676,10
0.01,0.05,0.0907919015592624,0.02329421503026027,10
0.01,0.001,0.08069260678368531,0.003063049917468279,10
0.1,0.001,0.08069260678368531,0.003063049917468279,10
0.01,0.01,0.08061374332300515,0.0029741567661701333,10
