fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.9176470588235294,0.9176470588235294,0.9584717607973422,10.0,1,0.919373268023787
2,0.8588235294117647,0.8636363636363636,0.9047619047619048,5.0,1,0.9392072978924189
3,0.8452380952380952,0.8602150537634409,0.9285309132161089,0.5,1,0.9311273386359892
4,0.8571428571428571,0.8636363636363636,0.9279636982416336,2.0,1,0.9317641067122036
5,0.8928571428571429,0.891566265060241,0.9229024943310657,0.5,1,0.939182282538684
6,0.8823529411764706,0.8863636363636364,0.9457364341085273,1.0,1,0.9206566904836802
7,0.8823529411764706,0.8809523809523809,0.937984496124031,1.0,1,0.9301321170179302
8,0.8809523809523809,0.8780487804878049,0.9455473624503687,2.0,1,0.9276582932638296
9,0.8452380952380952,0.8539325842696629,0.9273964832671583,1.0,1,0.9226709507332345
10,0.8809523809523809,0.8837209302325582,0.9217687074829932,0.5,1,0.9411805149867434
