fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8850574712643678,0.8837209302325582,0.9735449735449736,1.0,1,0.9282679738562092
2,0.8275862068965517,0.8314606741573034,0.9111111111111112,1.0,1,0.9367003367003367
3,0.9080459770114943,0.9148936170212766,0.9296296296296296,0.5,1,0.9276985541691424
4,0.8488372093023255,0.8571428571428571,0.9311653116531166,0.5,1,0.932036046741929
5,0.8372093023255814,0.8627450980392157,0.9246612466124662,0.5,1,0.9374876213111507
6,0.8160919540229885,0.8222222222222222,0.9174603174603175,2.0,1,0.9350762527233115
7,0.8850574712643678,0.8863636363636364,0.9603174603174602,1.0,1,0.9286244800950684
8,0.8275862068965517,0.845360824742268,0.8957671957671958,1.0,1,0.9448999801940978
9,0.9186046511627907,0.9230769230769231,0.9420054200542005,0.5,1,0.9353337294513764
10,0.8488372093023255,0.8571428571428571,0.9333333333333333,0.5,1,0.9328480887304418
