C,gamma,mean_auc,std_across_runs,n_runs
0.5,1.0,0.9296860537836148,0.002787484277185611,10
2.0,0.1,0.928661777247143,0.0028948244576280343,10
5.0,0.05,0.9285968503041675,0.003191789535306281,10
10.0,0.05,0.9279581556654728,0.003416331544223302,10
1.0,1.0,0.9279300130763545,0.0029355586497588244,10
5.0,0.1,0.9279224515322075,0.003420810954719591,10
0.1,1.0,0.927577690602081,0.00198894177085804,10
10.0,0.1,0.9268717948717949,0.0033328289663991425,10
1.0,0.1,0.9268500767525157,0.0025807451718734427,10
2.0,0.05,0.926487691170618,0.002575768070621574,10
10.0,0.01,0.9263458980044346,0.0026370897458315827,10
2.0,1.0,0.9256007163568138,0.0032963361493008624,10
0.5,0.1,0.9230332594235033,0.0021249484248795363,10
1.0,0.05,0.9228577520040935,0.002073230517026367,10
5.0,0.01,0.9228381374722838,0.0020393965808681394,10
5.0,1.0,0.9225220308147138,0.004181806370922324,10
10.0,1.0,0.9201315594974131,0.004649636240034534,10
0.5,0.05,0.918799135823526,0.0016932758767382835,10
0.01,1.0,0.9174373756324975,0.001629227559280542,10
2.0,0.01,0.9170753311728921,0.0017347223304182652,10
0.1,0.1,0.9139172209903916,0.0017102405056065768,10
0.1,0.05,0.9138047643413497,0.0018722698156040793,10
5.0,0.001,0.913636704758656,0.0017276861845045134,10
0.5,0.01,0.9136255614304396,0.0017335009322787013,10
1.0,0.01,0.9131386093581216,0.0018666383687574084,10
10.0,0.001,0.9130453692648814,0.0018350557157360684,10
2.0,0.001,0.8612491898345557,0.08441146502745289,10
0.01,0.01,0.21034271419637274,0.032694214300728296,10
0.01,0.001,0.0862855193586901,0.0017784316191073579,10
0.1,0.001,0.0862855193586901,0.0017784316191073579,10
0.5,0.001,0.0862855193586901,0.0017784316191073579,10
1.0,0.001,0.0862855193586901,0.0017784316191073579,10
0.1,0.01,0.08624810961396327,0.0017805879691319504,10
0.01,0.05,0.08611359372334983,0.0017524921822247483,10
0.01,0.1,0.0858223889931207,0.0016256684080922063,10
