fold,accuracy,f1,roc_auc,best_C,best_gamma,inner_mean_auc
1,0.8018018018018018,0.8493150684931506,0.8705574912891987,0.5,1,0.9487621753246753
2,0.8918918918918919,0.9166666666666666,0.9320557491289199,0.5,1,0.9277597402597403
3,0.9279279279279279,0.9420289855072463,0.9463414634146342,0.5,1,0.93028612012987
4,0.8828828828828829,0.9064748201438849,0.9243902439024391,0.5,1,0.9379768668831169
5,0.8918918918918919,0.9142857142857143,0.9585365853658536,0.5,1,0.9184828192640693
6,0.8648648648648649,0.8936170212765957,0.937630662020906,0.5,1,0.9296705898268398
7,0.8828828828828829,0.9115646258503401,0.9048780487804878,0.5,1,0.9370873917748916
8,0.8918918918918919,0.9104477611940298,0.9519163763066203,1.0,1,0.9267045454545453
9,0.8468468468468469,0.8859060402684564,0.9195121951219513,1.0,1,0.9353693181818181
10,0.9099099099099099,0.927536231884058,0.934843205574913,0.5,1,0.9227408008658008
